"cohort","rfid","sex","labanimalid","esc11_14_mean","mean_sha_last3","pr01","pr02","pr03","shock03","lga_11_age","sha_08_age","pr_01_age","pr_02_age","pr_03_age","shock_03_age","lga_11_box","pr_01_box","pr_02_box","pr_03_box","sha_08_box","shock_03_box","add_ind"
"C02","933000120138287","F","F99",1.25,59.6666666666667,11,12,15,23,81,61,66,88,95,100,"K1-2","K1-2","K1-2","K1-2","K1-2","MED1110-2",NA
"C02","933000120138288","M","M173",56.25,19,6,12,15,8,83,63,68,90,97,102,"Q3-1","Q3-1","Q3-1","Q3-1","Q3-1","MED1110-10",0.441046704094354
"C02","933000120138289","M","M172",73.25,11.6666666666667,3,NA,9,7,83,63,68,NA,97,102,NA,NA,NA,NA,NA,"MED1110-9",-0.107830063551187
"C02","933000120138291","M","M175",62.5,4.33333333333333,3,11,1,2,81,61,66,88,95,100,"Q3-3","Q3-3","Q3-3","Q3-1","Q3-3","MED1110-12",-0.57133339999259
"C02","933000120138293","F","F96",7.75,12,4,14,12,8,83,63,68,90,97,102,"MED1110-15","MED1110-15","MED1110-15","MED1110-15","MED1110-15","MED1110-7",NA
"C02","933000120138295","F","F98",9,36.6666666666667,10,13,10,15,81,61,66,88,95,100,"K1-1","K1-1","K1-1","K1-1","K1-1","MED1110-1",NA
"C02","933000120138296","F","F101",-48,48,10,12,11,32,81,61,66,88,95,100,"K1-4","K1-4","K1-4","K1-4","K1-4","MED1110-4",0.754530548817799
"C02","933000120138298","M","M178",NA,10.3333333333333,3,NA,NA,NA,NA,60,65,NA,NA,NA,NA,"Q3-6",NA,NA,"Q3-6",NA,NA
"C02","933000120138300","F","F104",19.25,1.33333333333333,0,2,5,14,80,60,65,87,94,99,"K2-1","K2-1","K2-1","K2-1","K2-1","MED1110-7",-1.43595603954544
"C02","933000120138302","M","M176",58.5,4,1,5,6,8,81,61,66,88,95,100,"Q3-4","Q3-4","Q3-4","Q3-2","Q3-4","MED1110-13",-0.862359996059183
"C02","933000120138304","F","F102",38.5,42,0,14,18,42,80,60,65,87,94,99,"K1-5","K1-5","K1-5","K1-5","K1-5","MED1110-5",1.63560313356148
"C02","933000120138305","F","F100",113.5,0.666666666666667,1,16,14,17,81,61,66,88,95,100,"K1-3","K1-3","K1-3","K1-3","K1-3","MED1110-3",0.346849448780087
"C02","933000120138306","F","F93",103.25,1.33333333333333,2,13,2,14,84,64,69,91,98,103,"MED1110-14","MED1110-14","MED1110-14","MED1110-14","MED1110-14","MED1110-6",NA
"C02","933000120138316","F","F92",88,4,1,13,12,30,84,64,69,91,98,103,"MED1110-13","MED1110-13","MED1110-13","MED1110-13","MED1110-13","MED1110-5",NA
"C02","933000120138321","M","M169",31.25,24.3333333333333,9,3,15,1,84,64,69,91,98,103,NA,NA,NA,NA,NA,"MED1110-14",0.574198991762496
"C02","933000120138322","M","M168",141.75,1,2,11,13,10,84,64,69,91,98,103,NA,NA,NA,NA,NA,"MED1110-13",0.344036177282185
"C02","933000120138324","M","M171",37.5,34.6666666666667,8,9,14,19,84,64,69,91,98,103,NA,NA,NA,NA,NA,"MED1110-16",1.21201054203389
"C02","933000120138330","M","M170",100.25,28.6666666666667,6,12,12,17,84,64,69,91,98,103,NA,NA,NA,NA,NA,"MED1110-15",0.613446703654191
"C02","933000120138331","F","F84",66,1.33333333333333,1,6,1,21,88,68,73,95,102,107,"MED1110-5","MED1110-5","MED1110-5","MED1110-5","MED1110-5","MED1110-5",NA
"C02","933000120138332","M","M162",76.75,3,2,11,12,3,88,68,73,95,102,107,"K3-2","K3-2","K3-2","K3-2","K3-2","MED1110-15",-0.117433217519165
"C02","933000120138333","M","M167",-13.75,40,9,9,3,4,86,66,71,93,100,105,NA,NA,NA,NA,NA,"MED1110-12",0.362374901277161
"C02","933000120138334","M","M161",109.25,0.333333333333333,0,15,16,0,88,68,73,95,102,107,"K3-1","K3-1","K3-1","K3-1","K3-1","MED1110-14",0.193780556735346
"C02","933000120138335","F","F85",129.75,2.33333333333333,3,6,12,21,88,68,73,95,102,107,"MED1110-6","MED1110-6","MED1110-6","MED1110-6","MED1110-6","MED1110-6",NA
"C02","933000120138336","M","M155",66.5,1.33333333333333,1,12,12,5,93,73,78,100,107,112,"K2-4","K2-4","K2-4","K2-4","K2-4","MED1110-11",-0.131839954933899
"C02","933000120138338","F","F87",69.75,13.3333333333333,6,10,10,17,89,69,74,96,103,108,"MED1110-8","MED1110-8","MED1110-8","MED1110-8","MED1110-8","MED1110-8",NA
