"cohort","rfid","sex","labanimalid","esc11_14_mean","mean_sha_last3","pr01","pr02","pr03","shock03","lga_11_age","sha_08_age","pr_01_age","pr_02_age","pr_03_age","shock_03_age","lga_11_box","pr_01_box","pr_02_box","pr_03_box","sha_08_box","shock_03_box"
"C08","933000320047290","M","M866",NA,0.666666666666667,1,2,5,2,NA,78,85,106,112,108,NA,"14-BSB273D","14-BSB273D","14-BSB273D","14-BSB273D","16-BSB273B"
"C08","933000320047293","M","M851",NA,3.66666666666667,2,1,1,4,NA,78,85,106,112,108,NA,"15-BSB273C","15-BSB273C","15-BSB273C","15-BSB273C","9-BSB273B"
"C08","933000320047295","F","F823",NA,27.3333333333333,10,11,10,8,NA,78,85,106,112,108,NA,"7-BSB273C","7-BSB273C","7-BSB273C","7-BSB273C","7-BSB273B"
"C08","933000320047312","F","F805",NA,44.6666666666667,9,4,6,44,NA,69,76,97,103,99,NA,"5-BSB273B","5-BSB273B","5-BSB273B","5-BSB273B","5-BSB273B"
"C08","933000320047313","M","M874",NA,46,5,12,12,5,NA,69,76,97,103,99,NA,"6-BSB273E","6-BSB273E","6-BSB273E","6-BSB273E","16-BSB273B"
"C08","933000320047321","M","M876",NA,12.6666666666667,6,2,14,14,NA,69,76,97,103,99,NA,"8-BSB273E","8-BSB273E","8-BSB273E","8-BSB273E","10-BSB273B"
"C08","933000320047462","M","M872",NA,8,6,2,11,17,NA,72,79,100,106,102,NA,"4-BSB273E","4-BSB273E","4-BSB273E","4-BSB273E","14-BSB273B"
"C08","933000320047464","M","M878",NA,3.33333333333333,2,10,0,1,NA,72,79,100,106,102,NA,"10-BSB273E","10-BSB273E","10-BSB273E","10-BSB273E","12-BSB273B"
"C08","933000320047470","F","F803",NA,1.66666666666667,1,9,0,4,NA,72,79,100,106,102,NA,"3-BSB273B","NA","3-BSB273B","3-BSB273B","3-BSB273B"
"C08","933000320047471","M","M870",NA,57.6666666666667,4,8,10,3,NA,73,80,101,107,103,NA,"2-BSB273E","2-BSB273E","2-BSB273E","2-BSB273E","12-BSB273B"
"C08","933000320047475","F","F804",NA,2.66666666666667,2,4,8,12,NA,72,79,100,106,102,NA,"4-BSB273B","4-BSB273B","4-BSB273B","4-BSB273B","4-BSB273B"
"C08","933000320047476","M","M871",NA,16,4,8,2,18,NA,70,77,98,104,100,NA,"3-BSB273E","3-BSB273E","3-BSB273E","3-BSB273E","13-BSB273B"
"C08","933000320047477","F","F801",NA,34,10,13,12,26,NA,69,76,97,103,99,NA,"1-BSB273B","1-BSB273B","1-BSB273B","1-BSB273B","1-BSB273B"
"C08","933000320047490","F","F808",NA,13,2,1,0,1,NA,70,77,98,104,100,NA,"8-BSB273B","8-BSB273B","8-BSB273B","8-BSB273B","8-BSB273B"
"C08","933000320047497","F","F807",NA,1,0,2,4,10,NA,70,77,98,104,100,NA,"7-BSB273B","7-BSB273B","7-BSB273B","7-BSB273B","7-BSB273B"
"C08","933000320047500","M","M877",NA,15,4,15,14,3,NA,70,77,98,104,100,NA,"9-BSB273E","9-BSB273E","9-BSB273E","9-BSB273E","11-BSB273B"
"C04","933000120138396","F","F418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C04","933000120138596","F","F420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C04","933000120138671","M","M464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
