"cohort","rfid","sex","labanimalid","esc11_14_mean","mean_sha_last3","pr01","pr02","pr03","shock03","lga_11_age","sha_08_age","pr_01_age","pr_02_age","pr_03_age","shock_03_age","lga_11_box","pr_01_box","pr_02_box","pr_03_box","sha_08_box","shock_03_box"
"C02","933000120138342","M","M163",-25.75,8.66666666666667,2,0,10,NA,88,68,73,95,102,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138343","F","F88",11.5,44.3333333333333,12,10,10,NA,86,66,71,93,100,NA,"9-MED1110","9-MED1110","9-MED1110","NA","9-MED1110",NA
"C02","933000120138344","M","M160",11.75,50.6666666666667,10,16,18,NA,88,68,73,95,102,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138346","M","M164",129,0,0,13,12,NA,86,66,71,93,100,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138347","M","M154",117.25,1.33333333333333,1,11,11,NA,93,73,78,100,107,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138348","M","M166",60.5,1,0,12,0,NA,86,66,71,93,100,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138349","M","M153",118.25,1.66666666666667,1,11,8,NA,93,73,78,100,107,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138351","F","F90",23.5,51.6666666666667,14,16,19,NA,86,66,71,93,100,NA,"11-MED1110","11-MED1110","11-MED1110","NA","11-MED1110",NA
"C02","933000120138354","F","F89",41.25,44,12,15,15,NA,86,66,71,93,100,NA,"10-MED1110","10-MED1110","10-MED1110","NA","10-MED1110",NA
"C03","933000120138384","M","M366",95.5,NA,0,13,13,22,103,NA,88,110,115,118,"NA","NA","NA","NA",NA,"16-MED1110"
"C03","933000120138385","M","M368",-2.75,2.33333333333333,2,2,5,2,100,79,85,107,112,115,"NA","NA","NA","NA","NA","10-MED1110"
"C03","933000120138386","F","F305",95.25,7.66666666666667,6,11,9,21,100,79,85,107,112,115,"5-MED1110","5-MED1110","5-MED1110","5-MED1110","5-MED1110","5-MED1110"
"C03","933000120138388","F","F323",-16.75,5.33333333333333,3,7,9,9,100,79,85,107,112,115,"NA","NA","NA","NA","NA","7-MED1110"
"C03","933000120138389","M","M360",26.5,4.66666666666667,5,NA,NA,NA,102,81,87,NA,NA,NA,"NA","NA",NA,NA,"NA",NA
"C03","933000120138394","M","M359",105.25,1.33333333333333,2,0,13,13,100,79,85,107,112,115,"NA","NA","NA","NA","NA","9-MED1110"
"C03","933000120138395","M","M371",0.25,0,0,0,6,4,100,79,85,107,112,115,"NA","NA","NA","NA","NA","13-MED1110"
"C03","933000120138397","M","M367",29,NA,5,14,12,22,100,NA,85,107,112,115,"NA","NA","NA","NA",NA,"9-MED1110"
"C03","933000120138398","F","F306",40.5,2.33333333333333,6,17,18,11,100,79,85,107,112,115,"6-MED1110","6-MED1110","6-MED1110","6-MED1110","6-MED1110","6-MED1110"
"C03","933000120138400","F","F303",28,6.66666666666667,0,10,12,0,100,79,85,107,112,115,"3-MED1110","3-MED1110","3-MED1110","3-MED1110","3-MED1110","3-MED1110"
"C03","933000120138401","M","M372",24.75,8,5,16,14,1,100,79,85,107,112,115,"NA","NA","NA","NA","NA","14-MED1110"
"C03","933000120138403","F","F304",45.75,27,9,12,10,20,102,81,87,109,114,117,"4-MED1110","4-MED1110","4-MED1110","4-MED1110","4-MED1110","4-MED1110"
"C03","933000120138556","F","F312",130,0.333333333333333,2,10,11,4,104,83,89,111,116,119,"12-MED1110","12-MED1110","12-MED1110","12-MED1110","12-MED1110","4-MED1110"
"C03","933000120138557","M","M361",34.25,7.66666666666667,4,9,14,16,104,83,89,111,116,119,"NA","NA","NA","NA","NA","11-MED1110"
"C03","933000120138558","M","M354",48.25,8.33333333333333,4,0,11,0,104,83,89,111,116,119,"NA","NA","NA","NA","NA","12-MED1110"
"C03","933000120138559","F","F311",73.75,3.33333333333333,1,13,13,16,104,83,89,111,116,119,"11-MED1110","11-MED1110","11-MED1110","11-MED1110","11-MED1110","3-MED1110"
"C03","933000120138561","F","F308",39,10.3333333333333,7,5,10,17,110,89,95,117,122,125,"8-MED1110","8-MED1110","8-MED1110","8-MED1110","8-MED1110","8-MED1110"
"C03","933000120138564","M","M373",67.5,3.33333333333333,3,9,9,21,103,82,88,110,115,118,"NA","NA","NA","NA","NA","15-MED1110"
"C03","933000120138568","F","F302",29.75,16.3333333333333,7,11,10,6,104,83,89,111,116,119,"2-MED1110","2-MED1110","2-MED1110","2-MED1110","2-MED1110","2-MED1110"
"C03","933000120138569","M","M364",-8.75,NA,10,8,5,4,104,NA,89,111,116,119,"NA","NA","NA","NA",NA,"14-MED1110"
"C03","933000120138573","M","M362",43,NA,1,3,4,2,104,NA,89,111,116,119,"NA","NA","NA","NA",NA,"12-MED1110"
"C03","933000120138575","M","M353",61.75,14,6,13,15,5,104,83,89,111,116,119,"NA","NA","NA","NA","NA","11-MED1110"
"C03","933000120138577","M","M363",8.75,NA,9,15,12,4,104,NA,89,111,116,119,"NA","NA","NA","NA",NA,"13-MED1110"
"C03","933000120138578","F","F301",24.75,15.6666666666667,5,15,11,14,104,83,89,111,116,119,"1-MED1110","1-MED1110","1-MED1110","1-MED1110","1-MED1110","1-MED1110"
"C03","933000120138579","F","F307",17.75,14.3333333333333,15,16,13,8,110,89,95,117,122,125,"7-MED1110","7-MED1110","7-MED1110","7-MED1110","7-MED1110","7-MED1110"
"C03","933000120138631","F","F320",-4,42.3333333333333,9,12,11,22,110,89,95,117,122,125,"NA","NA","NA","NA","NA","4-MED1110"
"C03","933000120138632","F","F322",150.75,0.666666666666667,0,14,12,27,110,89,95,117,122,125,"NA","NA","NA","NA","NA","6-MED1110"
"C03","933000120138633","F","F316",120.5,0.333333333333333,0,8,10,9,110,89,95,117,122,125,"16-MED1110","16-MED1110","16-MED1110","16-MED1110","16-MED1110","8-MED1110"
"C03","933000120138634","F","F315",5,37,7,10,8,11,110,89,95,117,122,125,"15-MED1110","15-MED1110","15-MED1110","15-MED1110","15-MED1110","7-MED1110"
"C03","933000120138636","M","M358",60.75,2,1,0,12,0,110,89,95,117,122,125,"NA","NA","NA","NA","NA","16-MED1110"
"C03","933000120138637","F","F317",54.5,0.333333333333333,2,1,11,7,110,89,95,117,122,125,"NA","NA","NA","NA","NA","1-MED1110"
"C03","933000120138638","M","M356",17,2.66666666666667,2,1,6,1,115,94,100,122,127,130,"NA","NA","NA","NA","NA","14-MED1110"
"C03","933000120138639","M","M365",100,NA,1,10,11,15,110,NA,95,117,122,125,"NA","NA","NA","NA",NA,"15-MED1110"
"C03","933000120138640","M","M370",0.25,0,0,0,0,1,110,89,95,117,122,125,"NA","NA","NA","NA","NA","12-MED1110"
"C03","933000120138642","F","F310",13.25,23.3333333333333,11,13,14,14,110,89,95,117,122,125,"10-MED1110","10-MED1110","10-MED1110","10-MED1110","10-MED1110","2-MED1110"
"C03","933000120138643","M","M369",4.25,2,1,1,5,5,110,89,95,117,122,125,"NA","NA","NA","NA","NA","11-MED1110"
"C03","933000120138644","F","F319",-13.75,41.6666666666667,8,4,14,17,110,89,95,117,122,125,"NA","NA","NA","NA","NA","3-MED1110"
"C03","933000120138645","M","M355",89.75,0.666666666666667,0,9,8,1,115,94,100,122,127,130,"NA","NA","NA","NA","NA","13-MED1110"
"C03","933000120138646","M","M352",34.75,10.6666666666667,6,11,10,2,110,89,95,117,122,125,"NA","NA","NA","NA","NA","10-MED1110"
"C03","933000120138647","F","F313",39.75,29,10,12,13,19,115,94,100,122,127,130,"13-MED1110","13-MED1110","13-MED1110","13-MED1110","13-MED1110","5-MED1110"
"C03","933000120138648","F","F309",39.75,23.3333333333333,10,12,13,23,110,89,95,117,122,125,"9-MED1110","9-MED1110","9-MED1110","9-MED1110","9-MED1110","1-MED1110"
"C03","933000120138649","M","M351",94.25,1.66666666666667,0,10,14,2,110,89,95,117,122,125,"NA","NA","NA","NA","NA","9-MED1110"
"C03","933000120138650","F","F318",-1.25,25.3333333333333,10,13,11,20,110,89,95,117,122,125,"NA","NA","NA","NA","NA","2-MED1110"
"C03","933000120138652","F","F314",0.75,0,0,1,0,12,115,94,100,122,127,130,"14-MED1110","14-MED1110","14-MED1110","14-MED1110","14-MED1110","6-MED1110"
"C03","933000120138654","F","F321",91,0.333333333333333,0,11,15,31,110,89,95,117,122,125,"NA","NA","NA","NA","NA","5-MED1110"
"C03","933000120138655","M","M357",6.25,45.6666666666667,10,11,13,21,110,89,95,117,122,125,"NA","NA","NA","NA","NA","15-MED1110"
"C04","933000120138387","F","F415",75.5,2.33333333333333,1,14,13,24,92,72,77,99,102,108,"15-MED1110","15-MED1110","15-MED1110","15-MED1110","15-MED1110","4-MED1110"
"C04","933000120138390","F","F417",55.25,0.333333333333333,1,10,12,9,90,70,75,97,100,106,"NA","NA","NA","NA","NA","6-MED1110"
"C04","933000120138391","F","F403",73.75,1.66666666666667,0,14,12,23,88,68,73,95,98,104,"3-MED1110","3-MED1110","3-MED1110","3-MED1110","3-MED1110","2-MED1110"
"C04","933000120138399","M","M466",98,0.666666666666667,1,10,9,10,90,70,75,97,100,106,"NA","NA","NA","NA","NA","14-MED1110"
"C04","933000120138402","M","M463",83.25,15,9,7,10,27,88,68,73,95,98,104,"NA","NA","NA","NA","NA","13-MED1110"
"C04","933000120138405","F","F416",77.25,0,0,12,13,20,92,72,77,99,102,108,"16-MED1110","16-MED1110","16-MED1110","16-MED1110","16-MED1110","5-MED1110"
"C04","933000120138582","F","F406",13,55.6666666666667,7,12,8,21,81,61,66,88,91,97,"6-MED1110","6-MED1110","6-MED1110","6-MED1110","6-MED1110","4-MED1110"
"C04","933000120138583","F","F424",11.75,38.6666666666667,10,16,14,26,83,63,68,90,93,99,"14-MED1110","14-MED1110","14-MED1110","14-MED1110","14-MED1110","3-MED1110"
"C04","933000120138584","M","M451",110.5,11,3,15,1,14,83,63,68,90,93,99,"NA","NA","NA","NA","NA","9-MED1110"
"C04","933000120138585","F","F423",23.25,1.66666666666667,1,13,5,25,85,65,70,92,95,101,"NA","NA","NA","NA","NA","2-MED1110"
"C04","933000120138589","M","M457",-3.75,1.33333333333333,0,1,2,4,81,61,66,88,91,97,"NA","NA","NA","NA","NA","15-MED1110"
"C04","933000120138592","M","M467",-3,0.666666666666667,0,1,3,13,81,61,66,88,91,97,"NA","NA","NA","NA","NA","15-MED1110"
"C04","933000120138598","M","M459",135.25,2,3,5,6,20,85,65,70,92,95,101,"NA","NA","NA","NA","NA","9-MED1110"
"C04","933000120138599","M","M468",108.5,NA,6,13,13,1,81,NA,66,88,91,97,"NA","NA","NA","NA",NA,"16-MED1110"
"C04","933000120138600","M","M473",81,NA,1,8,0,7,85,NA,70,92,95,101,"NA","NA","NA","NA",NA,"13-MED1110"
"C04","933000120138601","M","M452",-3.75,0.333333333333333,1,0,0,1,83,63,68,90,93,99,"NA","NA","NA","NA","NA","10-MED1110"
"C04","933000120138603","M","M460",-104.75,9,2,0,0,15,85,65,70,92,95,101,"NA","NA","NA","NA","NA","10-MED1110"
"C04","933000120138604","F","F405",-0.75,0.333333333333333,0,0,0,0,81,61,66,88,91,97,"5-MED1110","5-MED1110","5-MED1110","5-MED1110","5-MED1110","3-MED1110"
"C04","933000120138605","F","F419",91.75,17.3333333333333,6,12,12,4,85,65,70,92,95,101,"NA","NA","NA","NA","NA","7-MED1110"
"C04","933000120138619","F","F408",39.25,22.6666666666667,3,10,10,26,81,61,66,88,91,97,"8-MED1110","8-MED1110","8-MED1110","8-MED1110","8-MED1110","5-MED1110"
"C04","933000120138629","M","M458",-9.25,12.3333333333333,3,6,3,20,81,61,66,88,91,97,"NA","NA","NA","NA","NA","16-MED1110"
"C04","933000120138656","M","M471",121,NA,5,13,14,25,85,NA,70,92,95,101,"NA","NA","NA","NA",NA,"11-MED1110"
"C04","933000120138657","M","M461",67,2,0,3,2,5,85,65,70,92,95,101,"NA","NA","NA","NA","NA","11-MED1110"
"C04","933000120138661","M","M456",4,20.3333333333333,7,4,4,24,88,68,73,95,98,104,"NA","NA","NA","NA","NA","14-MED1110"
